Unprojected (Latitude/Longitude)|Unprojected (Latitude/Longitude)|+proj=longlat +ellps=WGS84 +no_defs|GEOGCS["WGS 84",DATUM["unknown",SPHEROID["WGS84",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]]|GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]]|
State Plane - 1983|Vermont|+proj=tmerc +ellps=GRS80 +lon_0=-72.5 +lat_0=42.5 +k=0.99996428571429 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",42.5],PARAMETER["central_meridian",-72.5],PARAMETER["scale_factor",0.99996428571429],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",42.5],PARAMETER["central_meridian",-72.5],PARAMETER["scale_factor",0.99996428571429],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|Texas, North|+proj=lcc +ellps=GRS80 +lon_0=-101.5 +lat_0=33 +lat_1=34.65 +lat_2=36.1833333333333 +x_0=200000.0 +y_0=1000000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",34.65],PARAMETER["standard_parallel_2",36.1833333333333],PARAMETER["latitude_of_origin",33],PARAMETER["central_meridian",-101.5],PARAMETER["false_easting",200000],PARAMETER["false_northing",1000000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",34.65],PARAMETER["standard_parallel_2",36.1833333333333],PARAMETER["latitude_of_origin",33],PARAMETER["central_meridian",-101.5],PARAMETER["false_easting",200000],PARAMETER["false_northing",1000000]]|
State Plane - 1983|California, Zone VI|+proj=lcc +ellps=GRS80 +lon_0=-116.25 +lat_0=32.16666666666 +lat_1=32.783333333333 +lat_2=33.8833333333333 +x_0=2000000.0 +y_0=500000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.783333333333],PARAMETER["standard_parallel_2",33.8833333333333],PARAMETER["latitude_of_origin",32.16666666666],PARAMETER["central_meridian",-116.25],PARAMETER["false_easting",2000000],PARAMETER["false_northing",500000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.783333333333],PARAMETER["standard_parallel_2",33.8833333333333],PARAMETER["latitude_of_origin",32.16666666666],PARAMETER["central_meridian",-116.25],PARAMETER["false_easting",2000000],PARAMETER["false_northing",500000]]|
State Plane - 1983|West Virginia, North|+proj=lcc +ellps=GRS80 +lon_0=-79.5 +lat_0=38.5 +lat_1=39 +lat_2=40.25 +x_0=600000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",39],PARAMETER["standard_parallel_2",40.25],PARAMETER["latitude_of_origin",38.5],PARAMETER["central_meridian",-79.5],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",39],PARAMETER["standard_parallel_2",40.25],PARAMETER["latitude_of_origin",38.5],PARAMETER["central_meridian",-79.5],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|
State Plane - 1983|New York, Long Island|+proj=lcc +ellps=GRS80 +lon_0=-73 +lat_0=40.16666666666 +lat_1=40.6666666666 +lat_2=41.03333333333 +x_0=300000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.6666666666],PARAMETER["standard_parallel_2",41.03333333333],PARAMETER["latitude_of_origin",40.16666666666],PARAMETER["central_meridian",-73],PARAMETER["false_easting",300000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",40.6666666666],PARAMETER["standard_parallel_2",41.03333333333],PARAMETER["latitude_of_origin",40.16666666666],PARAMETER["central_meridian",-73],PARAMETER["false_easting",300000],PARAMETER["false_northing",0]]|
State Plane - 1983|Massachusetts, Mainland|+proj=lcc +ellps=GRS80 +lon_0=-71.5 +lat_0=40 +lat_1=41.7166666666666 +lat_2=42.683333333333 +x_0=200000.0 +y_0=750000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",41.7166666666666],PARAMETER["standard_parallel_2",42.683333333333],PARAMETER["latitude_of_origin",40],PARAMETER["central_meridian",-71.5],PARAMETER["false_easting",200000],PARAMETER["false_northing",750000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",41.7166666666666],PARAMETER["standard_parallel_2",42.683333333333],PARAMETER["latitude_of_origin",40],PARAMETER["central_meridian",-71.5],PARAMETER["false_easting",200000],PARAMETER["false_northing",750000]]|
State Plane - 1983|Wyoming, East Central|+proj=tmerc +ellps=GRS80 +lon_0=-107.3333333333 +lat_0=40.4 +k=0.99993750000000 +x_0=400000.0 +y_0=100000.0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",40.4],PARAMETER["central_meridian",-107.3333333333],PARAMETER["scale_factor",0.9999375],PARAMETER["false_easting",400000],PARAMETER["false_northing",100000]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",40.4],PARAMETER["central_meridian",-107.3333333333],PARAMETER["scale_factor",0.9999375],PARAMETER["false_easting",400000],PARAMETER["false_northing",100000]]|
State Plane - 1983|Massachusetts, Island|+proj=lcc +ellps=GRS80 +lon_0=-70.4 +lat_0=40 +lat_1=41.283333333333 +lat_2=41.4833333333333 +x_0=500000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",41.283333333333],PARAMETER["standard_parallel_2",41.4833333333333],PARAMETER["latitude_of_origin",40],PARAMETER["central_meridian",-70.4],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",41.283333333333],PARAMETER["standard_parallel_2",41.4833333333333],PARAMETER["latitude_of_origin",40],PARAMETER["central_meridian",-70.4],PARAMETER["false_easting",500000],PARAMETER["false_northing",0]]|
State Plane - 1983|New Mexico, East|+proj=tmerc +ellps=GRS80 +lon_0=-104.3333333333 +lat_0=30 +k=0.99990909090909 +x_0=165000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",30],PARAMETER["central_meridian",-104.3333333333],PARAMETER["scale_factor",0.99990909090909],PARAMETER["false_easting",165000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",30],PARAMETER["central_meridian",-104.3333333333],PARAMETER["scale_factor",0.99990909090909],PARAMETER["false_easting",165000],PARAMETER["false_northing",0]]|
State Plane - 1983|West Virginia, South|+proj=lcc +ellps=GRS80 +lon_0=-81 +lat_0=36 +lat_1=37.483333333333 +lat_2=38.883333333333 +x_0=600000.0 +y_0=0|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.483333333333],PARAMETER["standard_parallel_2",38.883333333333],PARAMETER["latitude_of_origin",36],PARAMETER["central_meridian",-81],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["GRS 1980(IUGG, 1980)",DATUM["unknown",SPHEROID["GRS80",6378137,298.257222101]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.483333333333],PARAMETER["standard_parallel_2",38.883333333333],PARAMETER["latitude_of_origin",36],PARAMETER["central_meridian",-81],PARAMETER["false_easting",600000],PARAMETER["false_northing",0]]|
